Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2020-08-15T08:56:17.909,7,-0.006007087,-0.547875557,FoVP,0.36585187711509565,0.7141192528323492,2459076.8770547872
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2020-08-15T10:42:52.178,6,-0.002648269,-0.543855612,FoVF,0.3634444414880133,0.716201904585726,2459076.9510567063
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2020-09-03T16:47:44.004,3,0.0019826804861285555,0.6864037653571087,FoVF,-0.632608479,0.7169146094422273,2459096.202753721
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2020-10-05T16:23:38.659,7,-0.003646234,-0.7487765,FoVF,0.6780205036450861,0.710521397049718,2459128.1828850824
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2021-02-17T17:24:00.499,4,0.0014075702355388889,-2.608645121,FoVF,-0.479531418,0.7107186713809596,2459263.223013215
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2021-03-11T05:22:19.345,6,-0.002847395,2.3513720287709328,FoVF,0.6921271274061689,0.7146552979030124,2459284.7238517795
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2021-04-09T09:17:28.974,3,9.896184371633288E-4,-2.389137123,FoVP,-0.641463876,0.721315069736048,2459313.890042473
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2021-04-09T11:04:03.194,7,-0.003919351,-2.386997016,FoVF,-0.642661428,0.7197312496150842,2459313.9640566627
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2021-08-25T04:03:53.726,5,-0.003235452,-0.691033596,FoVP,0.5280156774669726,0.7141938188240082,2459451.673218161
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2021-08-25T05:50:27.948,4,9.98031437632843E-4,-0.687914817,FoVF,0.5262364213988775,0.7162395463161907,2459451.7472188813
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2021-09-19T03:58:42.235,4,-4.21E-04,0.7697851652218783,FoVP,-0.70774676,0.7115709406069898,2459476.6672443952
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2021-10-16T03:46:17.079,4,-3.54E-04,-0.673123601,FoVP,0.5988760808256455,0.706258890448641,2459503.6559935655
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2021-10-16T05:32:51.306,2,0.004538469791597997,-0.675422952,FoVF,0.6002752517531377,0.7044199911640769,2459503.7299940125
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2022-02-27T10:44:56.093,1,0.00446361279880741,-2.477846212,FoVP,-0.606474418,0.7128572459401525,2459637.94675077
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2022-02-27T12:31:30.318,5,-4.89E-04,-2.480185568,FoVF,-0.605025373,0.7147390051837471,2459638.0207649
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2022-04-19T16:26:36.326,1,0.0032776471521801078,-2.465306719,FoVP,-0.532423782,0.7267253016568399,2459689.188982352
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2022-04-19T18:13:10.523,5,-0.001012348,-2.462152027,FoVF,-0.534258355,0.7246462646698195,2459689.262995762
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2022-09-04T18:59:49.181,1,0.006365370945863373,-0.760527821,FoVF,0.6337525868378673,0.7163477170114969,2459827.294465627
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2022-10-04T04:55:22.192,3,1.51319470767928E-4,0.7804130439579072,FoVP,-0.687594327,0.7075713913701186,2459856.7051582355
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2022-10-25T22:53:47.658,7,-0.005774104,-0.539451191,FoVP,0.4709371423069975,0.7065879758257408,2459878.452059126
